flowering,partial,,,,,,,,,,,,,,,,,,,,
nutsetting,pass,,,,,,,,,,,,,,,,,,,,
nutdrop,pass,,,,,,,,,,,,,,,,,,,,
health status,partial,,,,,,,,,,,,,,,,,,,,
,MONKEY DAMAGES ;,,,,,,,,,,,,,,,,,,,,
22/11/24 b2s7,,,,,,,,,,,,,,,,,,,,,
Insect pests,pass,,,,,,,,,,,,,,,,,,,,
diseases,"partial,sterm canker on 3 plants",,,,,,,,,,,,,,,,,,,,
basins,pass,,,,,,,,,,,,,,,,,,,,
inrows,"fail,",,,,,,,,,,,,,,,,,,,,
mowing,"fail,",,,,,,,,,,,,,,,,,,,,
inaccessibles,"fail,",,,,,,,,,,,,,,,,,,,,
deadplants,pass,,,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
Monkey damages,to be monitored,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
22/11/24 B2S5,,,,,,,,,,,,,,,,,,,,,
Insect pests,pass,,,,,,,,,,,,,,,,,,,,
diseases,partial,,,,,,,,,,,,,,,,,,,,
basins,pass,,,,,,,,,,,,,,,,,,,,
inrows,"fail,",,,,,,,,,,,,,,,,,,,,
mowing,"fail,",,,,,,,,,,,,,,,,,,,,
inaccessibles,"fail,",,,,,,,,,,,,,,,,,,,,
deadplants,Partial.2 pants,,,,,,,,,,,,,,,,,,,,
nutsetting,pass,,,,,,,,,,,,,,,,,,,,
nutsetting,pass,,,,,,,,,,,,,,,,,,,,
nutdrop,pass,,,,,,,,,,,,,,,,,,,,
flowering,partial,,,,,,,,,,,,,,,,,,,,
health status,"partial, due to colar rot,so painting of sterms is recommended",,,,,,,,,,,,,,,,,,,,
moisture,partial,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
23/11/24 B2S1A ,,,,,,,,,,,,,,,,,,,,,
Insect pests,pass,,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
basins,pass,,,,,,,,,,,,,,,,,,,,
inrows,"pass,shrubs regrowth",,,,,,,,,,,,,,,,,,,,
mowing,pass,,,,,,,,,,,,,,,,,,,,
inaccessibles,"fail,",,,,,,,,,,,,,,,,,,,,
moisture,partial,,,,,,,,,,,,,,,,,,,,
nutsetting,pass,,,,,,,,,,,,,,,,,,,,
nutdrop,partial,,,,,,,,,,,,,,,,,,,,
flowering,partial at extension,,,,,,,,,,,,,,,,,,,,
deadplants,pass,,,,,,,,,,,,,,,,,,,,
health status,"pass, nuts looks healthy and big",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
23/11/24 b2s1b,,,,,,,,,,,,,,,,,,,,,
Insect pests,pass,,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
basins,"partial ,incompete ",,,,,,,,,,,,,,,,,,,,
inrows,pass,,,,,,,,,,,,,,,,,,,,
mowing,N/A,,,,,,,,,,,,,,,,,,,,
inaccessibles,"fail ,Shingizha grass makes the field dirty ,so destumping is the best",,,,,,,,,,,,,,,,,,,,
nutsetting,partial,,,,,,,,,,,,,,,,,,,,
nutdrop,partial,,,,,,,,,,,,,,,,,,,,
flowering,partial,,,,,,,,,,,,,,,,,,,,
deadplants,pass,,,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
23/11/24 b2s3 ,,,,,,,,,,,,,,,,,,,,,
Insect pests,pass,,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
basins,pass,,,,,,,,,,,,,,,,,,,,
inrows,"partial,grass regrowth",,,,,,,,,,,,,,,,,,,,
mowing,fail,,,,,,,,,,,,,,,,,,,,
inaccessibles,fail,,,,,,,,,,,,,,,,,,,,
moisture,partial,,,,,,,,,,,,,,,,,,,,
deadplants,pass,,,,,,,,,,,,,,,,,,,,
nutsetting,partial,,,,,,,,,,,,,,,,,,,,
flowering,partial,,,,,,,,,,,,,,,,,,,,
nutdrop,pass,,,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
25/11/24 B2S2,,,,,,,,,,,,,,,,,,,,,
Insect pests,pass,,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
basins,pass,,,,,,,,,,,,,,,,,,,,
inrows,"Partial , due to shrubs",,,,,,,,,,,,,,,,,,,,
mowing,partial grass regrowth,,,,,,,,,,,,,,,,,,,,
inaccessibles,"partial, small portions require slashing",,,,,,,,,,,,,,,,,,,,
deadplants,pass,,,,,,,,,,,,,,,,,,,,
moisture,partial,,,,,,,,,,,,,,,,,,,,
nutsetting,partial,,,,,,,,,,,,,,,,,,,,
flowering,partial,,,,,,,,,,,,,,,,,,,,
nutdrop,pass,,,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
25/11/24 bB2S4,,,,,,,,,,,,,,,,,,,,,
Insect pests,pass,,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
basins,pass,,,,,,,,,,,,,,,,,,,,
inrows,"partial ,grass regrowth",,,,,,,,,,,,,,,,,,,,
mowing,fail,,,,,,,,,,,,,,,,,,,,
inaccessibles,"partial,inprogress destumping withExcavator and incomplete slashing",,,,,,,,,,,,,,,,,,,,
deadplants,pass,,,,,,,,,,,,,,,,,,,,
nutsetting,fail,,,,,,,,,,,,,,,,,,,,
flowering,fail,,,,,,,,,,,,,,,,,,,,
nutdrop,pass,,,,,,,,,,,,,,,,,,,,
moisture,partial,,,,,,,,,,,,,,,,,,,,
health status,partial,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
By precious.,B1S1,,,,,,,,,,,,,,,,,,,,
11/27/24,,,,,,,,,,,,,,,,,,,,,
Insect pests,"partial,meallybugs spreading everywhere in B1S1 ",,,,,,,,,,,,,,,,,,,,
diseases,"pass, sooty mould decreased",,,,,,,,,,,,,,,,,,,,
basins,"partial,inprogress ",,,,,,,,,,,,,,,,,,,,
inrows,"fail,to be slashed to avoid pests hosting",,,,,,,,,,,,,,,,,,,,
mowing,pass,,,,,,,,,,,,,,,,,,,,
inaccessibles,partial,,,,,,,,,,,,,,,,,,,,
contours,fail,,,,,,,,,,,,,,,,,,,,
deadplants,pass,,,,,,,,,,,,,,,,,,,,
moisture,partial,,,,,,,,,,,,,,,,,,,,
flowering,partial,,,,,,,,,,,,,,,,,,,,
nutsetting,"pass,most of the plants have pea size nuts from late flowering",,,,,,,,,,,,,,,,,,,,
nutdrop,pass,,,,,,,,,,,,,,,,,,,,
health status,"pass,macadamia nuts looks big,green and health",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
B1S2,,,,,,,,,,,,,,,,,,,,,
Insect pests,pass,,,,,,,,,,,,,,,,,,,,
diseases,"pass,sooty mould decreased",,,,,,,,,,,,,,,,,,,,
basins,"pass,cleaned",,,,,,,,,,,,,,,,,,,,
inrows,"fail,requires slashing",,,,,,,,,,,,,,,,,,,,
nutsetting,partil,,,,,,,,,,,,,,,,,,,,
nutdrop,fail,,,,,,,,,,,,,,,,,,,,
health status,fail,,,,,,,,,,,,,,,,,,,,
,partial,,,,,,,,,,,,,,,,,,,,
flowering,partial,,,,,,,,,,,,,,,,,,,,
,pass,,,,,,,,,,,,,,,,,,,,
,pass,,,,,,,,,,,,,,,,,,,,
,"pass,macadamia nuts looks big,green and health",,,,,,,,,,,,,,,,,,,,
,B2S8,,,,,,,,,,,,,,,,,,,,
B2s8 30/11/24,,,,,,,,,,,,,,,,,,,,,
Insect pests,pass,,,,,,,,,,,,,,,,,,,,
diseases,"partial,sterm canker on 3 plants",,,,,,,,,,,,,,,,,,,,
basins,"fai,weeds need action now",,,,,,,,,,,,,,,,,,,,
inrows,"fail ,the grass makes the field dirty",,,,,,,,,,,,,,,,,,,,
mowing,fail,,,,,,,,,,,,,,,,,,,,
inaccessibles,fail,,,,,,,,,,,,,,,,,,,,
deadplants,pass,,,,,,,,,,,,,,,,,,,,
moisture,pass,,,,,,,,,,,,,,,,,,,,
nutsetting,pass,,,,,,,,,,,,,,,,,,,,
flowering,fail,,,,,,,,,,,,,,,,,,,,
nutdrop,pass,,,,,,,,,,,,,,,,,,,,
health status,"pass,nuts looks health,however these nuts are in merced land",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
B2S6 02/12/24,,,,,,,,,,,,,,,,,,,,,
Insect pests,"partial,only meally bugs found",,,,,,,,,,,,,,,,,,,,
diseases,"partal,black sooty mould on few plants",,,,,,,,,,,,,,,,,,,,
basins,"partial,weeds regrowth in basins",,,,,,,,,,,,,,,,,,,,
inrows,"pass, was slashed",,,,,,,,,,,,,,,,,,,,
mowing,pass very smart,,,,,,,,,,,,,,,,,,,,
inaccessibles,pass,,,,,,,,,,,,,,,,,,,,
moisture,partial,,,,,,,,,,,,,,,,,,,,
deadplants,pass,,,,,,,,,,,,,,,,,,,,
nutsetting,pass,,,,,,,,,,,,,,,,,,,,
flowering,partial,,,,,,,,,,,,,,,,,,,,
nutdrop,pass,,,,,,,,,,,,,,,,,,,,
health status,"partial,sooty mould and premature nut cracking on intergrifolia",,,,,,,,,,,,,,,,,,,,
,MONKEY DAMAGES ;,,,,,,,,,,,,,,,,,,,,
B2S7  02/12/24,,,,,,,,,,,,,,,,,,,,,
Insect pests,"partial,black citrus aphids on flowers and new leaves",,,,,,,,,,,,,,,,,,,,
diseases,"partial,stem canker to be prevented with PVA and Copper",,,,,,,,,,,,,,,,,,,,
basins,partial grass regrowth,,,,,,,,,,,,,,,,,,,,
inrows,partial,,,,,,,,,,,,,,,,,,,,
mowing,pass,,,,,,,,,,,,,,,,,,,,
inaccessibles,"partial, to be slashed",,,,,,,,,,,,,,,,,,,,
moisture,partial ,,,,,,,,,,,,,,,,,,,,
deadplants,pass,,,,,,,,,,,,,,,,,,,,
nutsetting,pass,,,,,,,,,,,,,,,,,,,,
nutdrop,pass,,,,,,,,,,,,,,,,,,,,
flowering,partial,,,,,,,,,,,,,,,,,,,,
health status,"partial, few diseased plants require action",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
B2S2 03/12/24,,,,,,,,,,,,,,,,,,,,,
Insect pests,"partial, black citrus aphids on few plants and I nut borer damage",,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
basins,partial weeds regrowth,,,,,,,,,,,,,,,,,,,,
inrows,"partial,grass regrowth",,,,,,,,,,,,,,,,,,,,
mowing,fail,,,,,,,,,,,,,,,,,,,,
inaccessibles,partial,,,,,,,,,,,,,,,,,,,,
moisture,fail,,,,,,,,,,,,,,,,,,,,
deadplants,pass,,,,,,,,,,,,,,,,,,,,
destumping,partial uncompleted action,,,,,,,,,,,,,,,,,,,,
flowering,fail,,,,,,,,,,,,,,,,,,,,
nutsetting,partial,,,,,,,,,,,,,,,,,,,,
nutdrop,pass,,,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
B2S4 03/12/24,,,,,,,,,,,,,,,,,,,,,
Insect pests,pass,,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
basins,"partial,weeds regrowth in basins",,,,,,,,,,,,,,,,,,,,
inrows,"partial,the grass and shrubs need action",,,,,,,,,,,,,,,,,,,,
mowing,"fail,action is required",,,,,,,,,,,,,,,,,,,,
inaccessibles,"partial, inprogress Excavator destumping",,,,,,,,,,,,,,,,,,,,
moisture,"fail,irrigation should continues daily because of high temperatures",,,,,,,,,,,,,,,,,,,,
deadplants,pass,,,,,,,,,,,,,,,,,,,,
destumping,"partial ,inprogress",,,,,,,,,,,,,,,,,,,,
flowering,fail,,,,,,,,,,,,,,,,,,,,
nutsetting,partial,,,,,,,,,,,,,,,,,,,,
nutdrop,pass,,,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
B2S1A 04/12/24,,,,,,,,,,,,,,,,,,,,,
Insect pests,"Partial,2 plants with meally bugs,hetched eggs of unidentified pests",,,,,,,,,,,,,,,,,,,,
diseases,"Partial,2 plants with severe black sooty mould ",,,,,,,,,,,,,,,,,,,,
basins,"pass, still clean",,,,,,,,,,,,,,,,,,,,
inrows,"fail ,the extension grass requires action",,,,,,,,,,,,,,,,,,,,
mowing,"pass ,smart inter rows",,,,,,,,,,,,,,,,,,,,
inaccessibles,"fail, to be slashed",,,,,,,,,,,,,,,,,,,,
moisture,fail,,,,,,,,,,,,,,,,,,,,
deadplants,pass,,,,,,,,,,,,,,,,,,,,
destumping,"pass, was done",,,,,,,,,,,,,,,,,,,,
flowering,fail,,,,,,,,,,,,,,,,,,,,
nutsetting,pass,,,,,,,,,,,,,,,,,,,,
nutdrop,pass,,,,,,,,,,,,,,,,,,,,
health status,"partial ,only 2 plants to be treated but the nuts are so big ,green ,healthy",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
B2S1B O4/12/24,,,,,,,,,,,,,,,,,,,,,
Insect pests,pass,,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
basins,"partial ,incomplete action and grass regrowth",,,,,,,,,,,,,,,,,,,,
inrows,"partial, grass regrowth ",,,,,,,,,,,,,,,,,,,,
mowing,N/A,,,,,,,,,,,,,,,,,,,,
inaccessibles,"fail,field is dirty so destumping is the best .Also the grass desturbs other",,,,,,,,,,,,,,,,,,,,
,field activities,,,,,,,,,,,,,,,,,,,,
deadplants,pass,,,,,,,,,,,,,,,,,,,,
flowering,fail,,,,,,,,,,,,,,,,,,,,
nutsetting,partial,,,,,,,,,,,,,,,,,,,,
nutdrop,pass,,,,,,,,,,,,,,,,,,,,
health status,pass. ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
B2S3 04/12/24,,,,,,,,,,,,,,,,,,,,,
Insect pests,"partial, black citrus aphids on few plants",,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
basins,"partial, weeds regrowth",,,,,,,,,,,,,,,,,,,,
inrows,"fail ,",,,,,,,,,,,,,,,,,,,,
mowing,"fail, ",,,,,,,,,,,,,,,,,,,,
inaccessibles,"pass, was slashed",,,,,,,,,,,,,,,,,,,,
moisture,partial,,,,,,,,,,,,,,,,,,,,
deadplants,pass,,,,,,,,,,,,,,,,,,,,
flowering,partial,,,,,,,,,,,,,,,,,,,,
nutsetting,partial,,,,,,,,,,,,,,,,,,,,
nutdrop,pass,,,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
B2S5 O5/12/24’,,,,,,,,,,,,,,,,,,,,,
Insect pests,pass,,,,,,,,,,,,,,,,,,,,
diseases,partial due to colar rot,,,,,,,,,,,,,,,,,,,,
basins,pass,,,,,,,,,,,,,,,,,,,,
inrows," partial,incomplete ",,,,,,,,,,,,,,,,,,,,
mowing,fail,,,,,,,,,,,,,,,,,,,,
inaccessibles,"pass, was slashed",,,,,,,,,,,,,,,,,,,,
moisture,partial,,,,,,,,,,,,,,,,,,,,
deadplants,"Partial,1 dead plant at extension",,,,,,,,,,,,,,,,,,,,
flowering,partial,,,,,,,,,,,,,,,,,,,,
nutsetting,partial,,,,,,,,,,,,,,,,,,,,
nutdrop,pass,,,,,,,,,,,,,,,,,,,,
health status,"pass, all nuts looks health however ,colar rot to be prevented",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,By Precious,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
B2S6,12/09/24,,,,,,,,,,,,,,,,,,,,
Insect pests,partial;black citrus aphids on new shoots on a spot area,,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
basins,partial weeds regrowth,,,,,,,,,,,,,,,,,,,,
inrows,pass,,,,,,,,,,,,,,,,,,,,
mowing,pass,,,,,,,,,,,,,,,,,,,,
inaccessibles,pass,,,,,,,,,,,,,,,,,,,,
moisture,fail,,,,,,,,,,,,,,,,,,,,
deadplants,pass,,,,,,,,,,,,,,,,,,,,
flowering,partial,,,,,,,,,,,,,,,,,,,,
nutsetting,pass,,,,,,,,,,,,,,,,,,,,
nutdrop,pass,,,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
B2S7,12/10/24,,,,,,,,,,,,,,,,,,,,
Insect pests,Fail;1 Green veg bug [ yellow edged ]black citrus aphids on spot area,,,,,,,,,,,,,,,,,,,,
diseases,partial stem canker to be prevented with copper oxychloride,,,,,,,,,,,,,,,,,,,,
basins,partial weeds regrowth,,,,,,,,,,,,,,,,,,,,
inrows,pass,,,,,,,,,,,,,,,,,,,,
mowing,pass ;smart inter rows,,,,,,,,,,,,,,,,,,,,
inaccessibles,partial to be slashed,,,,,,,,,,,,,,,,,,,,
moisture,Partial ..hot weather,,,,,,,,,,,,,,,,,,,,
deadplants,pass,,,,,,,,,,,,,,,,,,,,
flowering,partial,,,,,,,,,,,,,,,,,,,,
nutsetting,pass,,,,,,,,,,,,,,,,,,,,
nutdrop,pass,,,,,,,,,,,,,,,,,,,,
health status,"pass, only stem canker to be treated on few plants",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
B1S1,12/11/24,,,,,,,,,,,,,,,,,,,,
Insect pests,partial meally bugs on nut stalk and hetched eggs,,,,,,,,,,,,,,,,,,,,
diseases,"partial,husk rot on pea sized nuts to be treated with fungicide",,,,,,,,,,,,,,,,,,,,
basins,"partial ,incomplete action and grass regrowth",,,,,,,,,,,,,,,,,,,,
inrows,pass,,,,,,,,,,,,,,,,,,,,
mowing,pass,,,,,,,,,,,,,,,,,,,,
inaccessibles,"partial ,small portions need action",,,,,,,,,,,,,,,,,,,,
contours,"fail ,very dirty",,,,,,,,,,,,,,,,,,,,
dead plants,pass,,,,,,,,,,,,,,,,,,,,
flowering,fail,,,,,,,,,,,,,,,,,,,,
nutsetting,pass,,,,,,,,,,,,,,,,,,,,
nutdrop,pass,,,,,,,,,,,,,,,,,,,,
health status,"partial,husk rot on pea sized nuts to be treated with fungicide",,,,,,,,,,,,,,,,,,,,
,and thorough monitoring is recommended,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
B1S2 ,12/12/24,,,,,,,,,,,,,,,,,,,,
Insect pests,"Partial, 1 nut borer damage ",,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
basins,pass,,,,,,,,,,,,,,,,,,,,
inrows,pass,,,,,,,,,,,,,,,,,,,,
mowing,partial incomplete field which need action,,,,,,,,,,,,,,,,,,,,
inaccessibles,"fail ,to be slashed",,,,,,,,,,,,,,,,,,,,
contours,fail ,,,,,,,,,,,,,,,,,,,,
deadplants,pass,,,,,,,,,,,,,,,,,,,,
flowering,fail,,,,,,,,,,,,,,,,,,,,
nutsetting,pass,,,,,,,,,,,,,,,,,,,,
nutdrop," partial, few pea sized nut under trees",,,,,,,,,,,,,,,,,,,,
health status,pass,,12/20/24,,,,,,,,,,,,,,,,,,
,,,ITERMS,B1S1,B1S2,B2S1A,B2S1B,B2S2, B2S3,B2S4,B2S5,B2S6,B2S7,B2S8,,,,,,,
,By Precious,,PESTS,Partial,partial,pass,pass,pass,pass,pass,pass,partial,pass,pass,,,,,,,
,,,DISEASES,Partial,pass,pass,pass,pass,pass,pass,pass,pass,pass,partial,,,,,,,
B2S8 ,12/13/24,,BASINS,Partial,pass,partial,fail,partial,fail,partial,partial,partial,partial,fail,,,,,,,
Insect pests,pass,,INROWS,pass,pass,fail,partial,fail,fail,fail,partial,pass,pass,pass,,,,,,,
diseases,"partial,3plants with stem canker to be treated",,MOWING,pass,partial,pass,N/A,partial,partial,fail,partial,pass,pass,partial,,DATE ,SECTION,TASKS,NO OF PPLE,COMP,SUPERVISOR
basins,"fail, the grass need action",,INACESS,pass,fail,pass,partial,fail,pass,fail,pass,pass,pass,fail,,01/02/25,B2S8,Foliar mix2 [TT75 transporting equipments],4,,jacob
inrows,"partial,inprogress ",,MOISTURE,Partial,partial,partial,partial,fail,fail,partial,partial,pass,pass,pass,,01/02/25,b2s7,Spraying Acephate [tt75 transporting equip,4,,jacob
mowing,partial,,DEAD PLANT,pass,pass,pass,pass,pass,partial,pass,partial,pass,pass,pass,,01/02/25,Farm,checking farm health status ,1,,manyanga
inaccessibles,fail,,H/STATUS,Partial,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,,01/02/25,b2s3 ,mowing TT45,2,,David
moisture,partial,,NUTSETTING,pass,pass,pass,partial,partial,partial,partial,partial,pass,pass,pass,,01/02/25,Farm,nursery irrigation,1,,chipo
deadplants,pass,,NUTDROP,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,,01/02/25,b2s1b ,slashing inter rows,4,,nyamunda
flowering,partial,,CONTOURS,fail,fail,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,01/02/25,Farm,dog dipping,1,,john
nutsetting,pass,,,,,,,,,,,,,,,01/02/25,"b2s5,6",patrolling,1,,john
nutdrop,partial,,by precious,,,,,,,,,,,,,01/02/25,"b2s1a, b",scouting,1,,precious
health status,"pass, only stem canker to be treated on few plants",,,,,,,,,,,,,,,01/03/25,b2s1b ,slashing inter rows,6,,manyanga
,,,,,,,,,,,,,,,,01/03/25,b2s7,sprayig Acephate ,4,,jacob
,,,,,,,,,,,,,,,,01/03/25,b1s2,mowing tt75,2,,marongedze
B2S1A 04/12/24,12/14/24,,,,,,,,,,,,,,,01/03/25,b2s2,scouting,1,,precious
Insect pests,"Partial,1 stink bug damage found",,,,,,,,,,,,,,,01/03/25,b2s4,Excavator destumping,1,,justice
diseases,pass,,,,,,,,,,,,,,,01/03/25,b2s8,compost application,4,,jacob
basins,partial,,,,,,,,,,,,,,,01/03/25,Farm,dog welfare,1,,john
inrows,"fail,grass to be controlled",,,,,,,,,,,,,,,01/04/25,b2s4,scouting,1,,precious
mowing,pass,,,,,,,,,,,,,,,01/04/25,b2s4,Excavator destumping,1,,justice
inaccessibles,"fail,slashing is required",,,,,,,,,,,,,,,01/04/25,b1s2 ,mowing tt75,2,,marongedze
moisture,partial,,,,,,,,,,,,,,,01/04/25,b2s1b ,slashing inter rows,10,,manyanga
deadplants,pass,,,,,,,,,,,,,,,01/04/25,b1s2,stink bug spray Acephate,4,,jacob
flowering,partial,,,,,,,,,,,,,,,01/04/25,Farm,dog welfare,1,,john
nutsetting,pass,,,,,,,,,,,,,,,01/06/25,b2s4,Excavator destumping,1,,justice
nutdrop,pass,,,,,,,,,,,,,,,01/06/25,b2s1b ,slashing inter rows,9,,manyanga
health status,"pass, however high temperatures lead to water stress on plants",,,,,,,,,,,,,,,01/06/25,b1s1,mowing tt75,2,,marongedze
,,,,,,,,,,,,,,,,01/06/25,b2s3 ,scouting,1,,precious
B2S1B,12/14/24,,,,,,,,,,,,,,,01/06/25,"b2s1a, b",foliar mix 2,4,,jacob
Insect pests,Partial 1 nut borer damage found ,,,,,,,,,,,,,,,01/06/25,Farm,nursery irrigation,1,,chipo
diseases,pass,,,,,,,,,,,,,,,01/06/25,Farm,dog dipping,1,,john
basins,"fail,weeds need action",,,,,,,,,,,,,,,01/07/25,b1s1,mowing tt75,2,,marongedze
inrows,fail to be slashed,,,,,,,,,,,,,,,01/07/25,b1s1,spraying carbaryl  tt45 transporting ,4,,jacob
mowing,N/A,,,,,,,,,,,,,,,01/07/25,b2s1b ,slashing inter rows,10,,manyanga
inaccessibles,"fail, the field is so dirty henceforth destumping is the best",,,,,,,,,,,,,,,,b2s5,scouting,1,,precious
moisture,partial,,,,,,,,,,,,,,,,"b2s5,6",patrolling,1,,john
deadplants,pass,,,,,,,,,,,,,,,,,,,,
flowering,partial,,,,,,,,,,,,,,,,,,,,
