id,date,section,metric,condition,notes
74,25/05/2025,B2S5,health status,pass,No intervention needed - 71% severity
139,25/06/2025,B1S2,dead plants,pass,All systems operating normally
77,26/01/2025,B2S1A,pests,pass,Standards met
187,26/02/2025,B2S2,Pest,partial,Monitoring needed - 14% severity
58,26/03/2025,B2S1B,Weather,fail,Weather damage
81,26/03/2025,B2S2,Disease,pass,No disease detected
16,26/04/2025,B2S4,destumping,partial,Some improvement needed
88,26/04/2025,B1S1,inrows,pass,Good condition maintained
48,26/04/2025,B2S1B,inaccessibles,fail,Poor condition
168,26/05/2025,B2S3,drippers,pass,No issues detected
75,26/05/2025,B2S1B,Weather,partial,Mixed conditions
134,26/05/2025,B2S5,Dead Plant,partial,Partial completion
177,27/01/2025,B2S2,Insect pests,pass,No pests detected
154,27/03/2025,B2S6,moisture,partial,Partial irrigation
32,27/03/2025,B2S1A,soil nutrients,pass,Optimal conditions
31,27/04/2025,B2S2,mowing,partial,Moderate condition
29,27/06/2025,B2S4,Insect pests,partial,Some pest activity
126,27/06/2025,B2S7,flowering,pass,Optimal conditions
73,27/06/2025,B2S2,Soil,pass,Good soil condition - 40% area coverage
54,28/01/2025,B2S4,Weather,partial,Some weather concerns - South section
109,28/02/2025,B2S3,dead plants,pass,Optimal conditions - Low priority
162,28/03/2025,B2S6,contours,partial,Some areas need attention
78,28/04/2025,B1S1,Disease,pass,Disease-free zone
76,28/04/2025,B1S1,inrows,pass,No intervention needed - South section
46,28/05/2025,B2S2,leaf colour,pass,No issues detected - Evening inspection
66,28/06/2025,B2S7,staking,pass,All systems operating normally - 8 plants affected
30,29/03/2025,B2S1B,nutsetting,partial,Requires monitoring
179,29/05/2025,B2S6,Growth,partial,Some improvement needed - Morning inspection
91,30/01/2025,B1S1,drippers,pass,Excellent performance - Morning inspection
131,30/03/2025,B2S7,basins,pass,Optimal conditions
103,30/04/2025,B2S2,Dead Plant,pass,Standards met
1,31/01/2025,B2S2,soil moisture,pass,Standards met - Afternoon inspection
61,31/03/2025,B1S1,pruning,pass,Standards met
82,31/05/2025,B2S8,leaf colour,pass,Healthy growth observed
