1,date,section,metric,condition,notes,source,id
64.0,2024-11-22,B2S7,dead plants,partial,.2 pants,Original,
62.0,2024-11-22,B2S7,mowing,fail,,Original,
60.0,2024-11-22,B2S7,basin weeds,pass,,Original,
63.0,2024-11-22,B2S7,inaccessibles,fail,,Original,
58.0,2024-11-22,B2S7,Insect pests,pass,,Original,
59.0,2024-11-22,B2S7,diseases,partial,,Original,
50.0,2024-11-22,B2S7,diseases,partial,sterm canker on 3 plants,Original,
51.0,2024-11-22,B2S7,basin weeds,pass,,Original,
52.0,2024-11-22,B2S7,inrows,fail,,Original,
49.0,2024-11-22,B2S7,Insect pests,pass,,Original,
54.0,2024-11-22,B2S7,inaccessibles,fail,,Original,
55.0,2024-11-22,B2S7,dead plants,pass,,Original,
56.0,2024-11-22,B2S7,health status,pass,,Original,
53.0,2024-11-22,B2S7,mowing,fail,,Original,
96.0,2024-11-23,B2S3,basin weeds,pass,,Original,
91.0,2024-11-23,B2S1B,flowering,partial,,Original,
92.0,2024-11-23,B2S1B,dead plants,pass,,Original,
93.0,2024-11-23,B2S1B,health status,pass,,Original,
94.0,2024-11-23,B2S3,Insect pests,pass,,Original,
95.0,2024-11-23,B2S3,diseases,pass,,Original,
97.0,2024-11-23,B2S3,inrows,partial,grass regrowth,Original,
102.0,2024-11-23,B2S3,nutsetting,partial,,Original,
99.0,2024-11-23,B2S3,inaccessibles,fail,,Original,
100.0,2024-11-23,B2S3,moisture,partial,,Original,
101.0,2024-11-23,B2S3,dead plants,pass,,Original,
103.0,2024-11-23,B2S3,flowering,partial,,Original,
104.0,2024-11-23,B2S3,nutdrop,pass,,Original,
105.0,2024-11-23,B2S3,health status,pass,,Original,
90.0,2024-11-23,B2S1B,nutdrop,partial,,Original,
98.0,2024-11-23,B2S3,mowing,fail,,Original,
89.0,2024-11-23,B2S1B,nutsetting,partial,,Original,
71.0,2024-11-23,B2S1A,Insect pests,pass,,Original,
87.0,2024-11-23,B2S1B,mowing,pass,,Original,
88.0,2024-11-23,B2S1B,inaccessibles,fail,"Shingizha grass makes the field dirty ,so destumping is the best",Original,
72.0,2024-11-23,B2S1A,diseases,pass,,Original,
74.0,2024-11-23,B2S1A,inrows,pass,shrubs regrowth,Original,
75.0,2024-11-23,B2S1A,mowing,pass,,Original,
76.0,2024-11-23,B2S1A,inaccessibles,fail,,Original,
77.0,2024-11-23,B2S1A,moisture,partial,,Original,
78.0,2024-11-23,B2S1A,nutsetting,pass,,Original,
73.0,2024-11-23,B2S1A,basin weeds,pass,,Original,
80.0,2024-11-23,B2S1A,flowering,partial,at extension,Original,
81.0,2024-11-23,B2S1A,dead plants,pass,,Original,
82.0,2024-11-23,B2S1A,health status,pass,nuts looks healthy and big,Original,
83.0,2024-11-23,B2S1B,Insect pests,pass,,Original,
84.0,2024-11-23,B2S1B,diseases,pass,,Original,
85.0,2024-11-23,B2S1B,basin weeds,partial,incompete,Original,
86.0,2024-11-23,B2S1B,inrows,pass,,Original,
79.0,2024-11-23,B2S1A,nutdrop,partial,,Original,
120.0,2024-11-25,B2S4,basin weeds,pass,,Original,
121.0,2024-11-25,B2S4,inrows,partial,grass regrowth,Original,
122.0,2024-11-25,B2S4,mowing,fail,,Original,
123.0,2024-11-25,B2S4,inaccessibles,partial,inprogress destumping withExcavator and incomplete slashing,Original,
127.0,2024-11-25,B2S4,nutdrop,pass,,Original,
125.0,2024-11-25,B2S4,nutsetting,fail,,Original,
126.0,2024-11-25,B2S4,flowering,fail,,Original,
128.0,2024-11-25,B2S4,moisture,partial,,Original,
129.0,2024-11-25,B2S4,health status,partial,,Original,
119.0,2024-11-25,B2S4,diseases,pass,,Original,
124.0,2024-11-25,B2S4,dead plants,pass,,Original,
118.0,2024-11-25,B2S4,Insect pests,pass,,Original,
114.0,2024-11-25,B2S2,nutsetting,partial,,Original,
116.0,2024-11-25,B2S2,nutdrop,pass,,Original,
115.0,2024-11-25,B2S2,flowering,partial,,Original,
113.0,2024-11-25,B2S2,moisture,partial,,Original,
112.0,2024-11-25,B2S2,dead plants,pass,,Original,
111.0,2024-11-25,B2S2,inaccessibles,partial,small portions require slashing,Original,
110.0,2024-11-25,B2S2,mowing,partial,grass regrowth,Original,
109.0,2024-11-25,B2S2,inrows,partial,due to shrubs,Original,
108.0,2024-11-25,B2S2,basin weeds,pass,,Original,
107.0,2024-11-25,B2S2,diseases,pass,,Original,
106.0,2024-11-25,B2S2,Insect pests,pass,,Original,
117.0,2024-11-25,B2S2,health status,pass,,Original,
143.0,2024-11-27,B1S2,Insect pests,pass,,Original,
144.0,2024-11-27,B1S2,diseases,pass,sooty mould decreased,Original,
145.0,2024-11-27,B1S2,basin weeds,pass,cleaned,Original,
146.0,2024-11-27,B1S2,inrows,fail,requires slashing,Original,
142.0,2024-11-27,B1S1,health status,pass,"macadamia nuts looks big,green and health",Original,
148.0,2024-11-27,B1S2,nutdrop,fail,,Original,
149.0,2024-11-27,B1S2,health status,fail,,Original,
150.0,2024-11-27,B1S2,flowering,partial,,Original,
147.0,2024-11-27,B1S2,nutsetting,partial,,Original,
141.0,2024-11-27,B1S1,nutdrop,pass,,Original,
136.0,2024-11-27,B1S1,contours,fail,,Original,
139.0,2024-11-27,B1S1,flowering,partial,,Original,
138.0,2024-11-27,B1S1,moisture,partial,,Original,
137.0,2024-11-27,B1S1,dead plants,pass,,Original,
140.0,2024-11-27,B1S1,nutsetting,pass,most of the plants have pea size nuts from late flowering,Original,
135.0,2024-11-27,B1S1,inaccessibles,partial,,Original,
134.0,2024-11-27,B1S1,mowing,pass,,Original,
133.0,2024-11-27,B1S1,inrows,fail,to be slashed to avoid pests hosting,Original,
132.0,2024-11-27,B1S1,basin weeds,partial,inprogress,Original,
131.0,2024-11-27,B1S1,diseases,pass,sooty mould decreased,Original,
130.0,2024-11-27,B1S1,Insect pests,partial,meallybugs spreading everywhere in B1S1,Original,
162.0,2024-11-30,B2S8,health status,pass,"nuts looks health,however these nuts are in merced land",Original,
161.0,2024-11-30,B2S8,nutdrop,pass,,Original,
160.0,2024-11-30,B2S8,flowering,fail,,Original,
159.0,2024-11-30,B2S8,nutsetting,pass,,Original,
157.0,2024-11-30,B2S8,dead plants,pass,,Original,
158.0,2024-11-30,B2S8,moisture,pass,,Original,
155.0,2024-11-30,B2S8,mowing,fail,,Original,
154.0,2024-11-30,B2S8,inrows,fail,the grass makes the field dirty,Original,
152.0,2024-11-30,B2S8,diseases,partial,sterm canker on 3 plants,Original,
151.0,2024-11-30,B2S8,Insect pests,pass,,Original,
156.0,2024-11-30,B2S8,inaccessibles,fail,,Original,
176.0,2024-12-02,B2S7,diseases,partial,stem canker to be prevented with PVA and Copper,Original,
177.0,2024-12-02,B2S7,basin weeds,partial,grass regrowth,Original,
178.0,2024-12-02,B2S7,inrows,partial,,Original,
179.0,2024-12-02,B2S7,mowing,pass,,Original,
180.0,2024-12-02,B2S7,inaccessibles,partial,to be slashed,Original,
183.0,2024-12-02,B2S7,nutsetting,pass,,Original,
182.0,2024-12-02,B2S7,dead plants,pass,,Original,
184.0,2024-12-02,B2S7,nutdrop,pass,,Original,
185.0,2024-12-02,B2S7,flowering,partial,,Original,
186.0,2024-12-02,B2S7,health status,partial,few diseased plants require action,Original,
181.0,2024-12-02,B2S7,moisture,partial,,Original,
175.0,2024-12-02,B2S7,Insect pests,partial,black citrus aphids on flowers and new leaves,Original,
170.0,2024-12-02,B2S6,dead plants,pass,,Original,
173.0,2024-12-02,B2S6,nutdrop,pass,,Original,
172.0,2024-12-02,B2S6,flowering,partial,,Original,
171.0,2024-12-02,B2S6,nutsetting,pass,,Original,
169.0,2024-12-02,B2S6,moisture,partial,,Original,
168.0,2024-12-02,B2S6,inaccessibles,pass,,Original,
167.0,2024-12-02,B2S6,mowing,pass,very smart,Original,
166.0,2024-12-02,B2S6,inrows,pass,was slashed,Original,
165.0,2024-12-02,B2S6,basin weeds,partial,weeds regrowth in basins,Original,
164.0,2024-12-02,B2S6,diseases,partial,,Original,
163.0,2024-12-02,B2S6,Insect pests,partial,only meally bugs found,Original,
174.0,2024-12-02,B2S6,health status,partial,sooty mould and premature nut cracking on intergrifolia,Original,
202.0,2024-12-03,B2S4,basin weeds,partial,weeds regrowth in basins,Original,
203.0,2024-12-03,B2S4,inrows,partial,the grass and shrubs need action,Original,
204.0,2024-12-03,B2S4,mowing,fail,action is required,Original,
205.0,2024-12-03,B2S4,inaccessibles,partial,inprogress Excavator destumping,Original,
212.0,2024-12-03,B2S4,health status,pass,,Original,
211.0,2024-12-03,B2S4,nutdrop,pass,,Original,
208.0,2024-12-03,B2S4,destumping,partial,inprogress,Original,
209.0,2024-12-03,B2S4,flowering,fail,,Original,
210.0,2024-12-03,B2S4,nutsetting,partial,,Original,
201.0,2024-12-03,B2S4,diseases,pass,,Original,
207.0,2024-12-03,B2S4,dead plants,pass,,Original,
200.0,2024-12-03,B2S4,Insect pests,pass,,Original,
206.0,2024-12-03,B2S4,moisture,fail,irrigation should continues daily because of high temperatures,Original,
198.0,2024-12-03,B2S2,nutdrop,pass,,Original,
199.0,2024-12-03,B2S2,health status,pass,,Original,
187.0,2024-12-03,B2S2,Insect pests,partial,black citrus aphids on few plants and I nut borer damage,Original,
188.0,2024-12-03,B2S2,diseases,pass,,Original,
189.0,2024-12-03,B2S2,basin weeds,partial,weeds regrowth,Original,
191.0,2024-12-03,B2S2,mowing,fail,,Original,
190.0,2024-12-03,B2S2,inrows,partial,grass regrowth,Original,
193.0,2024-12-03,B2S2,moisture,fail,,Original,
194.0,2024-12-03,B2S2,dead plants,pass,,Original,
195.0,2024-12-03,B2S2,destumping,partial,uncompleted action,Original,
196.0,2024-12-03,B2S2,flowering,fail,,Original,
197.0,2024-12-03,B2S2,nutsetting,partial,,Original,
192.0,2024-12-03,B2S2,inaccessibles,partial,,Original,
347.0,2024-12-04,B2S1B,nutdrop,pass,,Original,
344.0,2024-12-04,B2S1B,dead plants,pass,,Original,
345.0,2024-12-04,B2S1B,flowering,partial,,Original,
346.0,2024-12-04,B2S1B,nutsetting,partial,,Original,
348.0,2024-12-04,B2S1B,health status,pass,,Original,
353.0,2024-12-04,B2S2,mowing,fail,,Original,
350.0,2024-12-04,B2S2,diseases,pass,,Original,
351.0,2024-12-04,B2S2,basin weeds,partial,weeds regrowth,Original,
352.0,2024-12-04,B2S2,inrows,fail,,Original,
343.0,2024-12-04,B2S1B,moisture,partial,,Original,
349.0,2024-12-04,B2S2,Insect pests,partial,1 flower caterpillar moth,Original,
342.0,2024-12-04,B2S1B,inaccessibles,fail,the field is so dirty henceforth destumping is the best,Original,
335.0,2024-12-04,B2S1A,nutdrop,pass,,Original,
339.0,2024-12-04,B2S1B,basin weeds,fail,weeds need action,Original,
338.0,2024-12-04,B2S1B,diseases,pass,,Original,
337.0,2024-12-04,B2S1B,Insect pests,partial,1 nut borer damage found,Original,
336.0,2024-12-04,B2S1A,health status,pass,however high temperatures lead to water stress on plants,Original,
354.0,2024-12-04,B2S2,inaccessibles,fail,,Original,
334.0,2024-12-04,B2S1A,nutsetting,pass,,Original,
333.0,2024-12-04,B2S1A,flowering,partial,,Original,
332.0,2024-12-04,B2S1A,dead plants,pass,,Original,
331.0,2024-12-04,B2S1A,moisture,partial,,Original,
330.0,2024-12-04,B2S1A,inaccessibles,fail,slashing is required,Original,
329.0,2024-12-04,B2S1A,mowing,pass,,Original,
328.0,2024-12-04,B2S1A,inrows,fail,grass to be controlled,Original,
327.0,2024-12-04,B2S1A,basin weeds,partial,,Original,
341.0,2024-12-04,B2S1B,mowing,pass,,Original,
355.0,2024-12-04,B2S2,moisture,fail,,Original,
361.0,2024-12-04,B2S4,diseases,pass,,Original,
357.0,2024-12-04,B2S2,nutsetting,partial,,Original,
326.0,2024-12-04,B2S1A,diseases,pass,,Original,
383.0,2024-12-04,B2S3,health status,pass,,Original,
382.0,2024-12-04,B2S3,nutdrop,partial,,Original,
381.0,2024-12-04,B2S3,nutsetting,partial,,Original,
380.0,2024-12-04,B2S3,flowering,partial,,Original,
379.0,2024-12-04,B2S3,dead plants,partial,3 young plants died due to water stress [hot temperatures],Original,
378.0,2024-12-04,B2S3,moisture,fail,,Original,
377.0,2024-12-04,B2S3,inaccessibles,pass,was slashed,Original,
376.0,2024-12-04,B2S3,mowing,fail,,Original,
375.0,2024-12-04,B2S3,inrows,fail,,Original,
374.0,2024-12-04,B2S3,basin weeds,fail,weeds should be removed,Original,
373.0,2024-12-04,B2S3,diseases,pass,,Original,
356.0,2024-12-04,B2S2,flowering,fail,,Original,
372.0,2024-12-04,B2S3,Insect pests,pass,,Original,
370.0,2024-12-04,B2S4,nutdrop,pass,,Original,
369.0,2024-12-04,B2S4,nutsetting,partial,,Original,
368.0,2024-12-04,B2S4,flowering,pass,,Original,
367.0,2024-12-04,B2S4,dead plants,pass,,Original,
366.0,2024-12-04,B2S4,moisture,fail,,Original,
365.0,2024-12-04,B2S4,inaccessibles,partial,due to Excavator destumping in progress,Original,
364.0,2024-12-04,B2S4,mowing,fail,,Original,
363.0,2024-12-04,B2S4,inrows,fail,to be slashed,Original,
362.0,2024-12-04,B2S4,basin weeds,partial,weeds require action,Original,
360.0,2024-12-04,B2S4,Insect pests,pass,,Original,
359.0,2024-12-04,B2S2,health status,pass,,Original,
358.0,2024-12-04,B2S2,nutdrop,pass,,Original,
371.0,2024-12-04,B2S4,health status,pass,,Original,
325.0,2024-12-04,B2S1A,Insect pests,partial,1 stink bug damage found,Original,
340.0,2024-12-04,B2S1B,inrows,fail,to be slashed,Original,
220.0,2024-12-04,B2S1A,dead plants,pass,,Original,
234.0,2024-12-04,B2S1B,flowering,fail,,Original,
235.0,2024-12-04,B2S1B,nutsetting,partial,,Original,
236.0,2024-12-04,B2S1B,nutdrop,pass,,Original,
237.0,2024-12-04,B2S1B,health status,pass,.,Original,
238.0,2024-12-04,B2S3,Insect pests,partial,black citrus aphids on few plants,Original,
240.0,2024-12-04,B2S3,basin weeds,partial,weeds regrowth,Original,
241.0,2024-12-04,B2S3,inrows,fail,,Original,
242.0,2024-12-04,B2S3,mowing,fail,,Original,
243.0,2024-12-04,B2S3,inaccessibles,pass,was slashed,Original,
244.0,2024-12-04,B2S3,moisture,partial,,Original,
245.0,2024-12-04,B2S3,dead plants,pass,,Original,
246.0,2024-12-04,B2S3,flowering,partial,,Original,
247.0,2024-12-04,B2S3,nutsetting,partial,,Original,
248.0,2024-12-04,B2S3,nutdrop,pass,,Original,
249.0,2024-12-04,B2S3,health status,pass,,Original,
233.0,2024-12-04,B2S1B,dead plants,pass,,Original,
232.0,2024-12-04,B2S1B,inaccessibles,fail,field is dirty so destumping is the best .Also the grass desturbs other,Original,
239.0,2024-12-04,B2S3,diseases,pass,,Original,
230.0,2024-12-04,B2S1B,inrows,partial,grass regrowth,Original,
231.0,2024-12-04,B2S1B,mowing,pass,,Original,
213.0,2024-12-04,B2S1A,Insect pests,partial,"2 plants with meally bugs,hetched eggs of unidentified pests",Original,
214.0,2024-12-04,B2S1A,diseases,partial,2 plants with severe black sooty mould,Original,
215.0,2024-12-04,B2S1A,basin weeds,pass,still clean,Original,
216.0,2024-12-04,B2S1A,inrows,fail,the extension grass requires action,Original,
218.0,2024-12-04,B2S1A,inaccessibles,fail,to be slashed,Original,
219.0,2024-12-04,B2S1A,moisture,fail,,Original,
221.0,2024-12-04,B2S1A,destumping,pass,was done,Original,
217.0,2024-12-04,B2S1A,mowing,pass,smart inter rows,Original,
223.0,2024-12-04,B2S1A,nutsetting,pass,,Original,
224.0,2024-12-04,B2S1A,nutdrop,pass,,Original,
225.0,2024-12-04,B2S1A,health status,partial,"only 2 plants to be treated but the nuts are so big ,green ,healthy",Original,
227.0,2024-12-04,B2S1B,Insect pests,pass,,Original,
228.0,2024-12-04,B2S1B,diseases,pass,,Original,
229.0,2024-12-04,B2S1B,basin weeds,partial,incomplete action and grass regrowth,Original,
222.0,2024-12-04,B2S1A,flowering,fail,,Original,
266.0,2024-12-05,B2S6,basin weeds,partial,weeds regrowth,Original,
259.0,2024-12-05,B2S5,flowering,partial,,Original,
265.0,2024-12-05,B2S6,diseases,pass,,Original,
264.0,2024-12-05,B2S6,Insect pests,partial,black citrus aphids on new shoots on a spot area,Original,
262.0,2024-12-05,B2S5,health status,pass,"all nuts looks health however ,colar rot to be prevented",Original,
261.0,2024-12-05,B2S5,nutdrop,pass,,Original,
260.0,2024-12-05,B2S5,nutsetting,partial,,Original,
258.0,2024-12-05,B2S5,dead plants,partial,1 dead plant at extension,Original,
274.0,2024-12-05,B2S6,nutdrop,pass,,Original,
256.0,2024-12-05,B2S5,inaccessibles,pass,was slashed,Original,
255.0,2024-12-05,B2S5,mowing,fail,,Original,
254.0,2024-12-05,B2S5,inrows,partial,incomplete,Original,
253.0,2024-12-05,B2S5,basin weeds,pass,,Original,
252.0,2024-12-05,B2S5,diseases,partial,due to colar rot,Original,
251.0,2024-12-05,B2S5,Insect pests,pass,,Original,
267.0,2024-12-05,B2S6,inrows,pass,,Original,
257.0,2024-12-05,B2S5,moisture,partial,,Original,
268.0,2024-12-05,B2S6,mowing,pass,,Original,
275.0,2024-12-05,B2S6,health status,pass,,Original,
270.0,2024-12-05,B2S6,moisture,fail,,Original,
299.0,2024-12-05,B1S1,health status,partial,husk rot on pea sized nuts to be treated with fungicide,Original,
298.0,2024-12-05,B1S1,nutdrop,pass,,Original,
297.0,2024-12-05,B1S1,nutsetting,pass,,Original,
296.0,2024-12-05,B1S1,flowering,fail,,Original,
295.0,2024-12-05,B1S1,dead plants,pass,,Original,
294.0,2024-12-05,B1S1,contours,fail,very dirty,Original,
293.0,2024-12-05,B1S1,inaccessibles,partial,small portions need action,Original,
292.0,2024-12-05,B1S1,mowing,pass,,Original,
290.0,2024-12-05,B1S1,basin weeds,partial,incomplete action and grass regrowth,Original,
289.0,2024-12-05,B1S1,diseases,partial,husk rot on pea sized nuts to be treated with fungicide,Original,
288.0,2024-12-05,B1S1,Insect pests,partial,meally bugs on nut stalk and hetched eggs,Original,
287.0,2024-12-05,B2S7,health status,pass,only stem canker to be treated on few plants,Original,
286.0,2024-12-05,B2S7,nutdrop,pass,,Original,
285.0,2024-12-05,B2S7,nutsetting,pass,,Original,
284.0,2024-12-05,B2S7,flowering,partial,,Original,
283.0,2024-12-05,B2S7,dead plants,pass,,Original,
282.0,2024-12-05,B2S7,moisture,partial,..hot weather,Original,
281.0,2024-12-05,B2S7,inaccessibles,partial,to be slashed,Original,
280.0,2024-12-05,B2S7,mowing,pass,smart inter rows,Original,
279.0,2024-12-05,B2S7,inrows,pass,,Original,
278.0,2024-12-05,B2S7,basin weeds,partial,weeds regrowth,Original,
277.0,2024-12-05,B2S7,diseases,partial,stem canker to be prevented with copper oxychloride,Original,
269.0,2024-12-05,B2S6,inaccessibles,pass,,Original,
301.0,2024-12-05,B1S2,Insect pests,partial,1 nut borer damage,Original,
302.0,2024-12-05,B1S2,diseases,pass,,Original,
291.0,2024-12-05,B1S1,inrows,pass,,Original,
304.0,2024-12-05,B1S2,inrows,pass,,Original,
271.0,2024-12-05,B2S6,dead plants,pass,,Original,
272.0,2024-12-05,B2S6,flowering,partial,,Original,
303.0,2024-12-05,B1S2,basin weeds,pass,,Original,
324.0,2024-12-05,B2S8,health status,pass,only stem canker to be treated on few plants,Original,
323.0,2024-12-05,B2S8,nutdrop,partial,,Original,
322.0,2024-12-05,B2S8,nutsetting,pass,,Original,
321.0,2024-12-05,B2S8,flowering,partial,,Original,
320.0,2024-12-05,B2S8,dead plants,pass,,Original,
276.0,2024-12-05,B2S7,Insect pests,fail,1 Green veg bug [ yellow edged ]black citrus aphids on spot area,Original,
319.0,2024-12-05,B2S8,moisture,partial,,Original,
318.0,2024-12-05,B2S8,inaccessibles,fail,,Original,
317.0,2024-12-05,B2S8,mowing,partial,,Original,
273.0,2024-12-05,B2S6,nutsetting,pass,,Original,
315.0,2024-12-05,B2S8,basin weeds,fail,the grass need action,Original,
306.0,2024-12-05,B1S2,inaccessibles,fail,to be slashed,Original,
307.0,2024-12-05,B1S2,contours,fail,,Original,
308.0,2024-12-05,B1S2,dead plants,pass,,Original,
310.0,2024-12-05,B1S2,nutsetting,pass,,Original,
311.0,2024-12-05,B1S2,nutdrop,partial,few pea sized nut under trees,Original,
309.0,2024-12-05,B1S2,flowering,fail,,Original,
313.0,2024-12-05,B2S8,Insect pests,pass,,Original,
305.0,2024-12-05,B1S2,mowing,partial,incomplete field which need action,Original,
314.0,2024-12-05,B2S8,diseases,partial,3plants with stem canker to be treated,Original,
312.0,2024-12-05,B1S2,health status,pass,,Original,
316.0,2024-12-05,B2S8,inrows,partial,inprogress,Original,
394.0,2024-12-19,B2S5,health status,pass,,Original,
390.0,2024-12-19,B2S5,moisture,partial,,Original,
393.0,2024-12-19,B2S5,nutdrop,pass,,Original,
392.0,2024-12-19,B2S5,nutsetting,partial,,Original,
391.0,2024-12-19,B2S5,dead plants,pass,1 at extension,Original,
389.0,2024-12-19,B2S5,inaccessibles,pass,was slashed,Original,
387.0,2024-12-19,B2S5,inrows,partial,incomplete,Original,
386.0,2024-12-19,B2S5,basin weeds,partial,weeds regrowth in basins,Original,
385.0,2024-12-19,B2S5,diseases,pass,,Original,
384.0,2024-12-19,B2S5,Insect pests,pass,,Original,
388.0,2024-12-19,B2S5,mowing,partial,incomplete,Original,
402.0,2024-12-20,B1S1,health status,pass,,Original,
401.0,2024-12-20,B1S1,contours,fail,,Original,
400.0,2024-12-20,B1S1,inaccessibles,pass,,Original,
399.0,2024-12-20,B1S1,mowing,pass,,Original,
398.0,2024-12-20,B1S1,inrows,pass,,Original,
396.0,2024-12-20,B1S1,diseases,partial,due to sooty mould,Original,
395.0,2024-12-20,B1S1,Insect pests,partial,conjective meally bugs on nut stalk and under individual trees,Original,
397.0,2024-12-20,B1S1,basin weeds,partial,incomplete action and grass regrowth,Original,
411.0,2024-12-21,B2S7,diseases,partial,sooty mould on individual trees,Original,
410.0,2024-12-21,B2S7,health status,pass,,Original,
409.0,2024-12-21,B2S7,dead plants,pass,,Original,
408.0,2024-12-21,B2S7,moisture,pass,,Original,
404.0,2024-12-21,B2S7,basin weeds,partial,weeds regrowth in basins,Original,
406.0,2024-12-21,B2S7,mowing,pass,,Original,
403.0,2024-12-21,B2S7,Insect pests,fail,"meally bugs,stink bug eggs hetched and unhetched ,2nymphal",Original,
407.0,2024-12-21,B2S7,inaccessibles,pass,,Original,
405.0,2024-12-21,B2S7,inrows,pass,,Original,
412.0,2024-12-27,B2S6,Insect pests,pass,,Original,
413.0,2024-12-27,B2S6,diseases,pass,,Original,
414.0,2024-12-27,B2S6,basin weeds,partial,which need action,Original,
415.0,2024-12-27,B2S6,inrows,partial,grass regrowth,Original,
416.0,2024-12-27,B2S6,mowing,partial,grass regrowth,Original,
417.0,2024-12-27,B2S6,inaccessibles,pass,,Original,
418.0,2024-12-27,B2S6,dead plants,pass,,Original,
419.0,2024-12-27,B2S6,moisture,pass,,Original,
420.0,2024-12-27,B2S6,health status,pass,,Original,
426.0,2024-12-30,B2S8,inaccessibles,fail,,Original,
429.0,2024-12-30,B2S8,health status,pass,,Original,
428.0,2024-12-30,B2S8,dead plants,pass,,Original,
427.0,2024-12-30,B2S8,moisture,pass,,Original,
425.0,2024-12-30,B2S8,mowing,partial,,Original,
424.0,2024-12-30,B2S8,inrows,partial,,Original,
423.0,2024-12-30,B2S8,basin weeds,fail,,Original,
422.0,2024-12-30,B2S8,diseases,pass,,Original,
421.0,2024-12-30,B2S8,Insect pests,pass,,Original,
437.0,2024-12-31,B1S2,health status,pass,,Original,
436.0,2024-12-31,B1S2,moisture,pass,,Original,
435.0,2024-12-31,B1S2,contours,fail,,Original,
434.0,2024-12-31,B1S2,inaccessibles,fail,,Original,
432.0,2024-12-31,B1S2,basin weeds,pass,,Original,
431.0,2024-12-31,B1S2,diseases,pass,,Original,
430.0,2024-12-31,B1S2,Insect pests,partial,stink bug eggs on nut,Original,
433.0,2024-12-31,B1S2,mowing,fail,,Original,
443.0,2025-01-15,B1S2,inaccessibles,pass,,Original,
446.0,2025-01-15,B1S2,moisture,fail,,Original,
445.0,2025-01-15,B1S2,dead plants,pass,,Original,
444.0,2025-01-15,B1S2,contours,pass,,Original,
447.0,2025-01-15,B1S2,health status,pass,,Original,
442.0,2025-01-15,B1S2,mowing,pass,orchard is smart,Original,
