1,date,section,metric,condition,notes
146,27/11/2024,B1S2,inrows,fail,requires slashing
147,27/11/2024,B1S2,nutsetting,partial,
148,27/11/2024,B1S2,nutdrop,fail,
149,27/11/2024,B1S2,health status,fail,
150,27/11/2024,B1S2,flowering,partial,
151,30/11/2024,B2S8,Insect pests,pass,
152,30/11/2024,B2S8,diseases,partial,sterm canker on 3 plants
154,30/11/2024,B2S8,inrows,fail,the grass makes the field dirty
155,30/11/2024,B2S8,mowing,fail,
156,30/11/2024,B2S8,inaccessibles,fail,
157,30/11/2024,B2S8,dead plants,pass,
158,30/11/2024,B2S8,moisture,pass,
159,30/11/2024,B2S8,nutsetting,pass,
160,30/11/2024,B2S8,flowering,fail,
161,30/11/2024,B2S8,nutdrop,pass,
162,30/11/2024,B2S8,health status,pass,"nuts looks health,however these nuts are in merced land"
163,02/12/2024,B2S6,Insect pests,partial,only meally bugs found
164,02/12/2024,B2S6,diseases,partial,
165,02/12/2024,B2S6,basin weeds,partial,weeds regrowth in basins
166,02/12/2024,B2S6,inrows,pass,was slashed
167,02/12/2024,B2S6,mowing,pass,very smart
168,02/12/2024,B2S6,inaccessibles,pass,
169,02/12/2024,B2S6,moisture,partial,
170,02/12/2024,B2S6,dead plants,pass,
171,02/12/2024,B2S6,nutsetting,pass,
172,02/12/2024,B2S6,flowering,partial,
173,02/12/2024,B2S6,nutdrop,pass,
174,02/12/2024,B2S6,health status,partial,sooty mould and premature nut cracking on intergrifolia
175,02/12/2024,B2S7,Insect pests,partial,black citrus aphids on flowers and new leaves
176,02/12/2024,B2S7,diseases,partial,stem canker to be prevented with PVA and Copper
177,02/12/2024,B2S7,basin weeds,partial,grass regrowth
178,02/12/2024,B2S7,inrows,partial,
179,02/12/2024,B2S7,mowing,pass,
180,02/12/2024,B2S7,inaccessibles,partial,to be slashed
181,02/12/2024,B2S7,moisture,partial,
182,02/12/2024,B2S7,dead plants,pass,
183,02/12/2024,B2S7,nutsetting,pass,
184,02/12/2024,B2S7,nutdrop,pass,
185,02/12/2024,B2S7,flowering,partial,
186,02/12/2024,B2S7,health status,partial,few diseased plants require action
187,03/12/2024,B2S2,Insect pests,partial,black citrus aphids on few plants and I nut borer damage
188,03/12/2024,B2S2,diseases,pass,
189,03/12/2024,B2S2,basin weeds,partial,weeds regrowth
190,03/12/2024,B2S2,inrows,partial,grass regrowth
191,03/12/2024,B2S2,mowing,fail,
192,03/12/2024,B2S2,inaccessibles,partial,
193,03/12/2024,B2S2,moisture,fail,
194,03/12/2024,B2S2,dead plants,pass,
195,03/12/2024,B2S2,destumping,partial,uncompleted action
196,03/12/2024,B2S2,flowering,fail,
197,03/12/2024,B2S2,nutsetting,partial,
198,03/12/2024,B2S2,nutdrop,pass,
199,03/12/2024,B2S2,health status,pass,
200,03/12/2024,B2S4,Insect pests,pass,
201,03/12/2024,B2S4,diseases,pass,
202,03/12/2024,B2S4,basin weeds,partial,weeds regrowth in basins
203,03/12/2024,B2S4,inrows,partial,the grass and shrubs need action
204,03/12/2024,B2S4,mowing,fail,action is required
205,03/12/2024,B2S4,inaccessibles,partial,inprogress Excavator destumping
206,03/12/2024,B2S4,moisture,fail,irrigation should continues daily because of high temperatures
207,03/12/2024,B2S4,dead plants,pass,
208,03/12/2024,B2S4,destumping,partial,inprogress
209,03/12/2024,B2S4,flowering,fail,
210,03/12/2024,B2S4,nutsetting,partial,
211,03/12/2024,B2S4,nutdrop,pass,
212,03/12/2024,B2S4,health status,pass,
213,04/12/2024,B2S1A,Insect pests,partial,"2 plants with meally bugs,hetched eggs of unidentified pests"
214,04/12/2024,B2S1A,diseases,partial,2 plants with severe black sooty mould
215,04/12/2024,B2S1A,basin weeds,pass,still clean
216,04/12/2024,B2S1A,inrows,fail,the extension grass requires action
217,04/12/2024,B2S1A,mowing,pass,smart inter rows
218,04/12/2024,B2S1A,inaccessibles,fail,to be slashed
219,04/12/2024,B2S1A,moisture,fail,
220,04/12/2024,B2S1A,dead plants,pass,
221,04/12/2024,B2S1A,destumping,pass,was done
222,04/12/2024,B2S1A,flowering,fail,
223,04/12/2024,B2S1A,nutsetting,pass,
224,04/12/2024,B2S1A,nutdrop,pass,
225,04/12/2024,B2S1A,health status,partial,"only 2 plants to be treated but the nuts are so big ,green ,healthy"
227,04/12/2024,B2S1B,Insect pests,pass,
228,04/12/2024,B2S1B,diseases,pass,
229,04/12/2024,B2S1B,basin weeds,partial,incomplete action and grass regrowth
230,04/12/2024,B2S1B,inrows,partial,grass regrowth
231,04/12/2024,B2S1B,mowing,pass,
232,04/12/2024,B2S1B,inaccessibles,fail,field is dirty so destumping is the best .Also the grass desturbs other
233,04/12/2024,B2S1B,dead plants,pass,
234,04/12/2024,B2S1B,flowering,fail,
235,04/12/2024,B2S1B,nutsetting,partial,
236,04/12/2024,B2S1B,nutdrop,pass,
237,04/12/2024,B2S1B,health status,pass,.
238,04/12/2024,B2S3,Insect pests,partial,black citrus aphids on few plants
239,04/12/2024,B2S3,diseases,pass,
240,04/12/2024,B2S3,basin weeds,partial,weeds regrowth
241,04/12/2024,B2S3,inrows,fail,
242,04/12/2024,B2S3,mowing,fail,
243,04/12/2024,B2S3,inaccessibles,pass,was slashed
244,04/12/2024,B2S3,moisture,partial,
245,04/12/2024,B2S3,dead plants,pass,
246,04/12/2024,B2S3,flowering,partial,
247,04/12/2024,B2S3,nutsetting,partial,
248,04/12/2024,B2S3,nutdrop,pass,
249,04/12/2024,B2S3,health status,pass,
251,05/12/2024,B2S5,Insect pests,pass,
252,05/12/2024,B2S5,diseases,partial,due to colar rot
253,05/12/2024,B2S5,basin weeds,pass,
254,05/12/2024,B2S5,inrows,partial,incomplete
255,05/12/2024,B2S5,mowing,fail,
256,05/12/2024,B2S5,inaccessibles,pass,was slashed
257,05/12/2024,B2S5,moisture,partial,
258,05/12/2024,B2S5,dead plants,partial,1 dead plant at extension
259,05/12/2024,B2S5,flowering,partial,
260,05/12/2024,B2S5,nutsetting,partial,
261,05/12/2024,B2S5,nutdrop,pass,
262,05/12/2024,B2S5,health status,pass,"all nuts looks health however ,colar rot to be prevented"
264,05/12/2024,B2S6,Insect pests,partial,black citrus aphids on new shoots on a spot area
265,05/12/2024,B2S6,diseases,pass,
266,05/12/2024,B2S6,basin weeds,partial,weeds regrowth
267,05/12/2024,B2S6,inrows,pass,
268,05/12/2024,B2S6,mowing,pass,
269,05/12/2024,B2S6,inaccessibles,pass,
270,05/12/2024,B2S6,moisture,fail,
271,05/12/2024,B2S6,dead plants,pass,
272,05/12/2024,B2S6,flowering,partial,
273,05/12/2024,B2S6,nutsetting,pass,
274,05/12/2024,B2S6,nutdrop,pass,
275,05/12/2024,B2S6,health status,pass,
276,05/12/2024,B2S7,Insect pests,fail,1 Green veg bug [ yellow edged ]black citrus aphids on spot area
277,05/12/2024,B2S7,diseases,partial,stem canker to be prevented with copper oxychloride
278,05/12/2024,B2S7,basin weeds,partial,weeds regrowth
279,05/12/2024,B2S7,inrows,pass,
280,05/12/2024,B2S7,mowing,pass,smart inter rows
281,05/12/2024,B2S7,inaccessibles,partial,to be slashed
282,05/12/2024,B2S7,moisture,partial,..hot weather
283,05/12/2024,B2S7,dead plants,pass,
284,05/12/2024,B2S7,flowering,partial,
285,05/12/2024,B2S7,nutsetting,pass,
286,05/12/2024,B2S7,nutdrop,pass,
287,05/12/2024,B2S7,health status,pass,only stem canker to be treated on few plants
288,05/12/2024,B1S1,Insect pests,partial,meally bugs on nut stalk and hetched eggs
289,05/12/2024,B1S1,diseases,partial,husk rot on pea sized nuts to be treated with fungicide
290,05/12/2024,B1S1,basin weeds,partial,incomplete action and grass regrowth
291,05/12/2024,B1S1,inrows,pass,
292,05/12/2024,B1S1,mowing,pass,
293,05/12/2024,B1S1,inaccessibles,partial,small portions need action
294,05/12/2024,B1S1,contours,fail,very dirty
295,05/12/2024,B1S1,dead plants,pass,
296,05/12/2024,B1S1,flowering,fail,
297,05/12/2024,B1S1,nutsetting,pass,
298,05/12/2024,B1S1,nutdrop,pass,
299,05/12/2024,B1S1,health status,partial,husk rot on pea sized nuts to be treated with fungicide
301,05/12/2024,B1S2,Insect pests,partial,1 nut borer damage
302,05/12/2024,B1S2,diseases,pass,
303,05/12/2024,B1S2,basin weeds,pass,
304,05/12/2024,B1S2,inrows,pass,
305,05/12/2024,B1S2,mowing,partial,incomplete field which need action
306,05/12/2024,B1S2,inaccessibles,fail,to be slashed
307,05/12/2024,B1S2,contours,fail,
308,05/12/2024,B1S2,dead plants,pass,
309,05/12/2024,B1S2,flowering,fail,
310,05/12/2024,B1S2,nutsetting,pass,
311,05/12/2024,B1S2,nutdrop,partial,few pea sized nut under trees
312,05/12/2024,B1S2,health status,pass,
313,05/12/2024,B2S8,Insect pests,pass,
314,05/12/2024,B2S8,diseases,partial,3plants with stem canker to be treated
315,05/12/2024,B2S8,basin weeds,fail,the grass need action
316,05/12/2024,B2S8,inrows,partial,inprogress
317,05/12/2024,B2S8,mowing,partial,
318,05/12/2024,B2S8,inaccessibles,fail,
319,05/12/2024,B2S8,moisture,partial,
320,05/12/2024,B2S8,dead plants,pass,
321,05/12/2024,B2S8,flowering,partial,
322,05/12/2024,B2S8,nutsetting,pass,
323,05/12/2024,B2S8,nutdrop,partial,
324,05/12/2024,B2S8,health status,pass,only stem canker to be treated on few plants
325,04/12/2024,B2S1A,Insect pests,partial,1 stink bug damage found
326,04/12/2024,B2S1A,diseases,pass,
327,04/12/2024,B2S1A,basin weeds,partial,
328,04/12/2024,B2S1A,inrows,fail,grass to be controlled
329,04/12/2024,B2S1A,mowing,pass,
330,04/12/2024,B2S1A,inaccessibles,fail,slashing is required
331,04/12/2024,B2S1A,moisture,partial,
332,04/12/2024,B2S1A,dead plants,pass,
333,04/12/2024,B2S1A,flowering,partial,
334,04/12/2024,B2S1A,nutsetting,pass,
335,04/12/2024,B2S1A,nutdrop,pass,
336,04/12/2024,B2S1A,health status,pass,however high temperatures lead to water stress on plants
337,04/12/2024,B2S1B,Insect pests,partial,1 nut borer damage found
338,04/12/2024,B2S1B,diseases,pass,
339,04/12/2024,B2S1B,basin weeds,fail,weeds need action
340,04/12/2024,B2S1B,inrows,fail,to be slashed
341,04/12/2024,B2S1B,mowing,pass,
342,04/12/2024,B2S1B,inaccessibles,fail,the field is so dirty henceforth destumping is the best
343,04/12/2024,B2S1B,moisture,partial,
344,04/12/2024,B2S1B,dead plants,pass,
345,04/12/2024,B2S1B,flowering,partial,
346,04/12/2024,B2S1B,nutsetting,partial,
347,04/12/2024,B2S1B,nutdrop,pass,
348,04/12/2024,B2S1B,health status,pass,
349,04/12/2024,B2S2,Insect pests,partial,1 flower caterpillar moth
350,04/12/2024,B2S2,diseases,pass,
351,04/12/2024,B2S2,basin weeds,partial,weeds regrowth
352,04/12/2024,B2S2,inrows,fail,
353,04/12/2024,B2S2,mowing,fail,
354,04/12/2024,B2S2,inaccessibles,fail,
355,04/12/2024,B2S2,moisture,fail,
356,04/12/2024,B2S2,flowering,fail,
357,04/12/2024,B2S2,nutsetting,partial,
358,04/12/2024,B2S2,nutdrop,pass,
359,04/12/2024,B2S2,health status,pass,
360,04/12/2024,B2S4,Insect pests,pass,
361,04/12/2024,B2S4,diseases,pass,
362,04/12/2024,B2S4,basin weeds,partial,weeds require action
363,04/12/2024,B2S4,inrows,fail,to be slashed
364,04/12/2024,B2S4,mowing,fail,
365,04/12/2024,B2S4,inaccessibles,partial,due to Excavator destumping in progress
366,04/12/2024,B2S4,moisture,fail,
367,04/12/2024,B2S4,dead plants,pass,
368,04/12/2024,B2S4,flowering,pass,
369,04/12/2024,B2S4,nutsetting,partial,
370,04/12/2024,B2S4,nutdrop,pass,
371,04/12/2024,B2S4,health status,pass,
372,04/12/2024,B2S3,Insect pests,pass,
373,04/12/2024,B2S3,diseases,pass,
374,04/12/2024,B2S3,basin weeds,fail,weeds should be removed
375,04/12/2024,B2S3,inrows,fail,
376,04/12/2024,B2S3,mowing,fail,
377,04/12/2024,B2S3,inaccessibles,pass,was slashed
378,04/12/2024,B2S3,moisture,fail,
379,04/12/2024,B2S3,dead plants,partial,3 young plants died due to water stress [hot temperatures]
380,04/12/2024,B2S3,flowering,partial,
381,04/12/2024,B2S3,nutsetting,partial,
382,04/12/2024,B2S3,nutdrop,partial,
383,04/12/2024,B2S3,health status,pass,
384,19/12/2024,B2S5,Insect pests,pass,
385,19/12/2024,B2S5,diseases,pass,
386,19/12/2024,B2S5,basin weeds,partial,weeds regrowth in basins
387,19/12/2024,B2S5,inrows,partial,incomplete
388,19/12/2024,B2S5,mowing,partial,incomplete
389,19/12/2024,B2S5,inaccessibles,pass,was slashed
390,19/12/2024,B2S5,moisture,partial,
391,19/12/2024,B2S5,dead plants,pass,1 at extension
392,19/12/2024,B2S5,nutsetting,partial,
393,19/12/2024,B2S5,nutdrop,pass,
394,19/12/2024,B2S5,health status,pass,
395,20/12/2024,B1S1,Insect pests,partial,conjective meally bugs on nut stalk and under individual trees
396,20/12/2024,B1S1,diseases,partial,due to sooty mould
397,20/12/2024,B1S1,basin weeds,partial,incomplete action and grass regrowth
398,20/12/2024,B1S1,inrows,pass,
399,20/12/2024,B1S1,mowing,pass,
400,20/12/2024,B1S1,inaccessibles,pass,
401,20/12/2024,B1S1,contours,fail,
402,20/12/2024,B1S1,health status,pass,
403,21/12/2024,B2S7,Insect pests,fail,"meally bugs,stink bug eggs hetched and unhetched ,2nymphal"
404,21/12/2024,B2S7,basin weeds,partial,weeds regrowth in basins
405,21/12/2024,B2S7,inrows,pass,
406,21/12/2024,B2S7,mowing,pass,
407,21/12/2024,B2S7,inaccessibles,pass,
408,21/12/2024,B2S7,moisture,pass,
409,21/12/2024,B2S7,dead plants,pass,
410,21/12/2024,B2S7,health status,pass,
411,21/12/2024,B2S7,diseases,partial,sooty mould on individual trees
412,27/12/2024,B2S6,Insect pests,pass,
413,27/12/2024,B2S6,diseases,pass,
414,27/12/2024,B2S6,basin weeds,partial,which need action
415,27/12/2024,B2S6,inrows,partial,grass regrowth
416,27/12/2024,B2S6,mowing,partial,grass regrowth
417,27/12/2024,B2S6,inaccessibles,pass,
418,27/12/2024,B2S6,dead plants,pass,
419,27/12/2024,B2S6,moisture,pass,
420,27/12/2024,B2S6,health status,pass,
421,30/12/2024,B2S8,Insect pests,pass,
422,30/12/2024,B2S8,diseases,pass,
423,30/12/2024,B2S8,basin weeds,fail,
424,30/12/2024,B2S8,inrows,partial,
425,30/12/2024,B2S8,mowing,partial,
426,30/12/2024,B2S8,inaccessibles,fail,
427,30/12/2024,B2S8,moisture,pass,
428,30/12/2024,B2S8,dead plants,pass,
429,30/12/2024,B2S8,health status,pass,
430,31/12/2024,B1S2,Insect pests,partial,stink bug eggs on nut
431,31/12/2024,B1S2,diseases,pass,
432,31/12/2024,B1S2,basin weeds,pass,
433,31/12/2024,B1S2,mowing,fail,
434,31/12/2024,B1S2,inaccessibles,fail,
435,31/12/2024,B1S2,contours,fail,
436,31/12/2024,B1S2,moisture,pass,
437,31/12/2024,B1S2,health status,pass,
438,15/01/2025,B1S2,Insect pests,pass,savage was very effective
439,15/01/2025,B1S2,diseases,pass,
440,15/01/2025,B1S2,basin weeds,pass,very smart
441,15/01/2025,B1S2,inrows,pass,
442,15/01/2025,B1S2,mowing,pass,orchard is smart
443,15/01/2025,B1S2,inaccessibles,pass,
444,15/01/2025,B1S2,contours,pass,
445,15/01/2025,B1S2,dead plants,pass,
446,15/01/2025,B1S2,moisture,fail,
447,15/01/2025,B1S2,health status,pass,
448,16/01/2025,B1S1,Insect pests,fail,fruit spotting bug nympal on nut . Few meally bugs also found
449,16/01/2025,B1S1,diseases,partial,"sooty mould not totally eradicated ,copper sprays are highly required"
450,16/01/2025,B1S1,basin weeds,pass,very smart
451,16/01/2025,B1S1,inrows,pass,
452,16/01/2025,B1S1,mowing,pass,
453,16/01/2025,B1S1,inaccessibles,pass,
454,16/01/2025,B1S1,contours,pass,very smart
455,16/01/2025,B1S1,dead plants,pass,
456,16/01/2025,B1S1,moisture,pass,due to showers of today
457,16/01/2025,B1S1,health status,partial,
458,21/01/2025,B2S7,Insect pests,pass,
459,21/01/2025,B2S7,diseases,pass,
460,21/01/2025,B2S7,basin weeds,pass,very clean due to handweeding
461,21/01/2025,B2S7,inrows,pass,was slashed
462,21/01/2025,B2S7,mowing,pass,the orchard floor is smart
463,21/01/2025,B2S7,inaccessibles,pass,
464,21/01/2025,B2S7,dead plants,pass,
465,21/01/2025,B2S7,moisture,pass,due to heavy rain
466,21/01/2025,B2S7,health status,pass,plants and nuts are healthier in a clean orchard
467,22/01/2025,B2S1A,Insect pests,pass,
468,22/01/2025,B2S1A,diseases,pass,
469,22/01/2025,B2S1A,basin weeds,pass,
470,22/01/2025,B2S1A,inrows,pass,
471,22/01/2025,B2S1A,mowing,pass,
472,22/01/2025,B2S1A,inaccessibles,pass,
473,22/01/2025,B2S1A,dead plants,pass,
474,22/01/2025,B2S1A,moisture,pass,
475,22/01/2025,B2S1A,health status,pass,
476,22/01/2025,B2S1B,Insect pests,pass,
477,22/01/2025,B2S1B,diseases,pass,
478,22/01/2025,B2S1B,basin weeds,partial,weeds require action
479,22/01/2025,B2S1B,inrows,pass,
480,22/01/2025,B2S1B,mowing,pass,
481,22/01/2025,B2S1B,inaccessibles,partial,grass recovering up
482,22/01/2025,B2S1B,dead plants,pass,
483,22/01/2025,B2S1B,moisture,pass,
484,22/01/2025,B2S1B,health status,pass,
485,30/01/2025,B2S3,Insect pests,pass,
486,30/01/2025,B2S3,diseases,pass,
487,30/01/2025,B2S3,basin weeds,pass,
488,30/01/2025,B2S3,inrows,pass,
489,30/01/2025,B2S3,mowing,pass,
490,30/01/2025,B2S3,inaccessibles,partial,which needs action
491,30/01/2025,B2S3,dead plants,pass,
492,30/01/2025,B2S3,moisture,pass,
493,30/01/2025,B2S3,health status,pass,
494,30/01/2025,B2S4,Insect pests,pass,
495,30/01/2025,B2S4,diseases,pass,
496,30/01/2025,B2S4,basin weeds,pass,
497,30/01/2025,B2S4,inrows,pass,
498,30/01/2025,B2S4,mowing,pass,
499,30/01/2025,B2S4,inaccessibles,partial,inprogress
500,30/01/2025,B2S4,dead plants,pass,
501,30/01/2025,B2S4,moisture,pass,
502,30/01/2025,B2S4,health status,pass,
503,31/01/2025,B1S1,Insect pests,fail,4 nymphals of green veg bug and hetched green veg bug eggs
504,31/01/2025,B1S1,diseases,pass,2 developing nuts with husk rot
505,31/01/2025,B1S1,basin weeds,pass,weeds regrowth
506,31/01/2025,B1S1,inrows,pass,grass regrowth
507,31/01/2025,B1S1,mowing,pass,grass regrowth
508,31/01/2025,B1S1,inaccessibles,pass,
509,31/01/2025,B1S1,moisture,pass,due to past heavy rains
510,31/01/2025,B1S1,dead plants,pass,
511,31/01/2025,B1S1,contours,pass,was slashed
512,31/01/2025,B1S1,health status,pass,
513,31/01/2025,B1S2,Insect pests,fail,1 green veg bug nympal and hetched eggs on 1 nut
514,31/01/2025,B1S2,diseases,pass,
515,31/01/2025,B1S2,basin weeds,fail,weeds requires action
516,31/01/2025,B1S2,inrows,pass,grass regrowth
517,31/01/2025,B1S2,mowing,pass,grass regrowth
518,31/01/2025,B1S2,inaccessibles,pass,
519,31/01/2025,B1S2,moisture,partial,
520,31/01/2025,B1S2,dead plants,pass,
521,31/01/2025,B1S2,contours,pass,
522,31/01/2025,B1S2,health status,pass,
524,01/02/2025,B2S6,Insect pests,fail,felted coccid and 1 nut borer damage
525,01/02/2025,B2S6,diseases,pass,
526,01/02/2025,B2S6,basin weeds,pass,very clean due to handweeding
527,01/02/2025,B2S6,inrows,pass,
528,01/02/2025,B2S6,mowing,pass,the orchard is now smart
529,01/02/2025,B2S6,inaccessibles,pass,
530,01/02/2025,B2S6,moisture,partial,
531,01/02/2025,B2S6,dead plants,pass,
532,01/02/2025,B2S6,health status,pass,
533,02/03/2025,B2S7,Insect pests,pass,however unhatched green vegetabie bug eggs are found.A knockdown experiment is required.
534,02/03/2025,B2S7,diseases,pass,
535,02/03/2025,B2S7,basin weeds,pass,
536,02/03/2025,B2S7,inrows,pass,herbiciding was done.
537,02/03/2025,B2S7,mowing,pass,
538,02/03/2025,B2S7,inaccessibles,pass,
539,02/03/2025,B2S7,moisture,partial,
540,02/03/2025,B2S7,dead plants,pass,
541,02/03/2025,B2S7,health status,pass,
542,02/04/2025,B2S8,Insect pests,pass,
543,02/04/2025,B2S8,diseases,pass,
544,02/04/2025,B2S8,basin weeds,pass,
